Product,Category,Price,Quantity
Product A,Electronics,100.0,2
Product B,Clothing,,1
Product C,Electronics,150.0,3
Product D,Furniture,200.0,1
Product E,Electronics,120.0,2
Product F,Clothing,50.0,1
Product G,Electronics,300.0,2
Product H,Clothing,,3
Product I,Furniture,250.0,1
Product J,Electronics,180.0,2
Product K,Clothing,60.0,1
Product L,Electronics,220.0,3
Product M,Furniture,,1
Product N,Electronics,150.0,2
Product O,Clothing,70.0,1
Product A,Electronics,100.0,2
Product C,Electronics,150.0,3
Product F,Clothing,50.0,1
