Region,Sales,Profit,Quantity
North,1000,200,50
South,1500,300,60
East,1200,250,55
North,1100,220,52
South,1600,320,65
East,1300,260,58
North,1050,210,51
South,1550,310,63
East,1250,255,57
North,1150,230,54
South,1650,330,67
East,1350,265,59
North,1080,215,53
South,1580,315,64
East,1280,258,56
North,1120,225,55
South,1620,325,66
East,1320,262,60
North,1070,212,52
South,1570,312,62
East,1270,257,58
North,1170,235,56
South,1670,335,68
East,1370,267,61
North,1090,218,54
South,1590,318,65
East,1290,259,59
