Date,FeedbackScore,AgeGroup,Region
2025-01-01,4.5,18-25,North
2025-01-02,4.2,26-35,South
2025-01-03,4.7,36-45,East
2025-01-04,4.3,18-25,North
2025-01-05,4.6,26-35,South
2025-01-06,4.8,36-45,East
2025-01-07,4.4,18-25,North
2025-01-08,4.1,26-35,South
2025-01-09,4.9,36-45,East
2025-01-10,4.2,18-25,North
2025-01-11,4.5,26-35,South
2025-01-12,4.7,36-45,East
2025-01-13,4.3,18-25,North
2025-01-14,4.6,26-35,South
2025-01-15,4.8,36-45,East
2025-01-16,4.4,18-25,North
2025-01-17,4.1,26-35,South
2025-01-18,4.9,36-45,East
2025-01-19,4.2,18-25,North
2025-01-20,4.5,26-35,South
2025-01-21,4.7,36-45,East
2025-01-22,4.3,18-25,North
2025-01-23,4.6,26-35,South
2025-01-24,4.8,36-45,East
2025-01-25,4.4,18-25,North
2025-01-26,4.1,26-35,South
2025-01-27,4.9,36-45,East
2025-01-28,4.2,18-25,North
2025-01-29,4.5,26-35,South
2025-01-30,4.7,36-45,East
