Region,Quarter,Sales,Profit
North,Q1,1000,200
South,Q1,1500,300
East,Q1,1200,250
North,Q2,1100,220
South,Q2,1600,320
East,Q2,1300,260
North,Q3,1050,210
South,Q3,1550,310
East,Q3,1250,255
North,Q4,1150,230
South,Q4,1650,330
East,Q4,1350,265
North,Q1,1080,215
South,Q1,1580,315
East,Q1,1280,258
North,Q2,1120,225
South,Q2,1620,325
East,Q2,1320,262
North,Q3,1070,212
South,Q3,1570,312
East,Q3,1270,257
North,Q4,1170,235
South,Q4,1670,335
East,Q4,1370,267
North,Q1,1090,218
South,Q1,1590,318
East,Q1,1290,259
