CustomerID,FeedbackScore,AgeGroup,Region
1,4.5,18-25,North
2,4.2,26-35,South
3,4.7,36-45,East
4,4.3,18-25,North
5,4.6,26-35,South
6,4.8,36-45,East
7,4.4,18-25,North
8,4.1,26-35,South
9,4.9,36-45,East
10,4.2,18-25,North
11,4.5,26-35,South
12,4.7,36-45,East
13,4.3,18-25,North
14,4.6,26-35,South
15,4.8,36-45,East
16,4.4,18-25,North
17,4.1,26-35,South
18,4.9,36-45,East
19,4.2,18-25,North
20,4.5,26-35,South
21,4.7,36-45,East
22,4.3,18-25,North
23,4.6,26-35,South
24,4.8,36-45,East
25,4.4,18-25,North
26,4.1,26-35,South
27,4.9,36-45,East
28,4.2,18-25,North
29,4.5,26-35,South
30,4.7,36-45,East
