Region,Sales,Profit,Quantity,Date
North,1000,200,50,2025-01-01
South,1500,300,60,2025-01-02
East,1200,250,55,2025-01-03
North,1100,220,52,2025-01-04
South,1600,320,65,2025-01-05
East,1300,260,58,2025-01-06
North,1050,210,51,2025-01-07
South,1550,310,63,2025-01-08
East,1250,255,57,2025-01-09
North,1150,230,54,2025-01-10
South,1650,330,67,2025-01-11
East,1350,265,59,2025-01-12
North,1080,215,53,2025-01-13
South,1580,315,64,2025-01-14
East,1280,258,56,2025-01-15
North,1120,225,55,2025-01-16
South,1620,325,66,2025-01-17
East,1320,262,60,2025-01-18
North,1070,212,52,2025-01-19
South,1570,312,62,2025-01-20
East,1270,257,58,2025-01-21
North,1170,235,56,2025-01-22
South,1670,335,68,2025-01-23
East,1370,267,61,2025-01-24
North,1090,218,54,2025-01-25
South,1590,318,65,2025-01-26
East,1290,259,59,2025-01-27
North,1190,240,57,2025-01-28
South,1690,340,69,2025-01-29
East,1390,270,62,2025-01-30
