CustomerID,AgeGroup,Region,SatisfactionScore
1,18-25,North,4.5
2,26-35,South,4.2
3,36-45,East,4.7
4,18-25,North,4.3
5,26-35,South,4.6
6,36-45,East,4.8
7,18-25,North,4.4
8,26-35,South,4.1
9,36-45,East,4.9
10,18-25,North,4.2
11,26-35,South,4.5
12,36-45,East,4.7
13,18-25,North,4.3
14,26-35,South,4.6
15,36-45,East,4.8
16,18-25,North,4.4
17,26-35,South,4.1
18,36-45,East,4.9
19,18-25,North,4.2
20,26-35,South,4.5
21,36-45,East,4.7
22,18-25,North,4.3
23,26-35,South,4.6
24,36-45,East,4.8
25,18-25,North,4.4
26,26-35,South,4.1
27,36-45,East,4.9
28,18-25,North,4.2
29,26-35,South,4.5
30,36-45,East,4.7
