CampaignID,Cost,Revenue,ROI
1,5000,10000,100
2,6000,12000,100
3,7000,13000,85.71
4,8000,14000,75
5,9000,15000,66.67
6,10000,16000,60
7,11000,17000,54.55
8,12000,18000,50
9,13000,19000,46.15
10,14000,20000,42.86
11,15000,21000,40
12,16000,22000,37.5
13,17000,23000,35.29
14,18000,24000,33.33
15,19000,25000,31.58
16,20000,26000,30
17,21000,27000,28.57
18,22000,28000,27.27
19,23000,29000,26.09
20,24000,30000,25
21,25000,31000,24
22,26000,32000,23.08
23,27000,33000,22.22
24,28000,34000,21.43
25,29000,35000,20.69
26,30000,36000,20
27,31000,37000,19.35
28,32000,38000,18.75
29,33000,39000,18.18
30,34000,40000,17.65
